mode,n,S,trial,comparisons,time_s
hybrid,1000,94,2,7591,0.0028273999923840165
hybrid,1000,94,3,7434,0.0031074999133124948
hybrid,1000,95,1,7550,0.00290239998139441
hybrid,1000,95,2,7368,0.002240499947220087
hybrid,1000,95,3,7738,0.0011740999761968851
hybrid,1000,96,1,7707,0.0012333999620750546
hybrid,1000,96,2,7684,0.001233499962836504
hybrid,1000,96,3,7596,0.0017728999955579638
hybrid,1000,97,1,7580,0.0011857999488711357
hybrid,1000,97,2,7519,0.0011702000629156828
hybrid,1000,97,3,7770,0.002094399998895824
hybrid,1000,98,1,7716,0.002870099968276918
hybrid,1000,98,2,7570,0.0013102000812068582
hybrid,1000,98,3,7550,0.003207000088877976
hybrid,1000,99,1,7583,0.0035218000411987305
hybrid,1000,99,2,7659,0.0032014999305829406
hybrid,1000,99,3,7668,0.0035450999857857823
