mode,n,S,trial,comparisons,time_s
hybrid,1000,98,2,7529,0.0011529000476002693
hybrid,1000,98,3,7691,0.0015094999689608812
hybrid,1000,99,1,7675,0.0011964000295847654
hybrid,1000,99,2,7797,0.0012220999924466014
hybrid,1000,99,3,7750,0.001170499948784709
hybrid,1000,100,1,7809,0.001424799906089902
hybrid,1000,100,2,7714,0.001243300037458539
hybrid,1000,100,3,7656,0.0012396000092849135
hybrid,1000,101,1,7631,0.0011680999305099249
hybrid,1000,101,2,7628,0.0012114999117329717
hybrid,1000,101,3,7611,0.001817599986679852
hybrid,1000,102,1,7499,0.001147699891589582
hybrid,1000,102,2,7753,0.001214600051753223
hybrid,1000,102,3,7382,0.0016467999666929245
hybrid,1000,103,1,7753,0.0018722000531852245
hybrid,1000,103,2,7593,0.0017201999435201287
hybrid,1000,103,3,7595,0.0017743000062182546
hybrid,1000,104,1,7410,0.0022444999776780605
hybrid,1000,104,2,7558,0.0029130999464541674
hybrid,1000,104,3,7540,0.003723300062119961
hybrid,1000,105,1,7650,0.0012626000680029392
hybrid,1000,105,2,7448,0.0012132999254390597
hybrid,1000,105,3,7437,0.0014633999671787024
hybrid,1000,106,1,7583,0.0012101000174880028
hybrid,1000,106,2,7734,0.0012353999773040414
hybrid,1000,106,3,7855,0.0012323999544605613
hybrid,1000,107,1,7749,0.0013744001043960452
hybrid,1000,107,2,7546,0.0023660999722778797
hybrid,1000,107,3,7927,0.002234499901533127
hybrid,1000,108,1,7496,0.002205900033004582
hybrid,1000,108,2,7563,0.0014469000743702054
hybrid,1000,108,3,7717,0.0012018999550491571
hybrid,1000,109,1,7494,0.0016033999854698777
hybrid,1000,109,2,7535,0.0020057999063283205
hybrid,1000,109,3,7442,0.0012197000905871391
hybrid,1000,110,1,7518,0.0011937000090256333
hybrid,1000,110,2,7818,0.002235500025562942
hybrid,1000,110,3,7532,0.0016336999833583832
hybrid,1000,111,1,7484,0.0017278000013902783
hybrid,1000,111,2,7566,0.0022255999501794577
hybrid,1000,111,3,7859,0.0015149000100791454
hybrid,1000,112,1,7552,0.0012357999803498387
hybrid,1000,112,2,7625,0.0011681999312713742
hybrid,1000,112,3,7585,0.0017969999462366104
hybrid,1000,113,1,7708,0.0011796999024227262
hybrid,1000,113,2,7664,0.0011686000507324934
hybrid,1000,113,3,7521,0.0013624000130221248
hybrid,1000,114,1,7563,0.0015701999654993415
hybrid,1000,114,2,7504,0.0014374000020325184
hybrid,1000,114,3,7625,0.0012769000604748726
hybrid,1000,115,1,7672,0.0012256000190973282
hybrid,1000,115,2,7672,0.0015007000183686614
hybrid,1000,115,3,7670,0.0015535999555140734
hybrid,1000,116,1,7333,0.0013523000525310636
hybrid,1000,116,2,7556,0.0011894999770447612
hybrid,1000,116,3,7845,0.0012517999857664108
hybrid,1000,117,1,7619,0.00166529999114573
hybrid,1000,117,2,7676,0.0012168000685051084
hybrid,1000,117,3,7563,0.001187400077469647
hybrid,1000,118,1,7792,0.0012153000570833683
hybrid,1000,118,2,7480,0.0017200999427586794
hybrid,1000,118,3,7492,0.0012826999882236123
hybrid,1000,119,1,7499,0.0012042000889778137
hybrid,1000,119,2,7782,0.0012736000353470445
hybrid,1000,119,3,7432,0.001842399942688644
hybrid,1000,120,1,7578,0.0012740999227389693
hybrid,1000,120,2,7458,0.0012398000108078122
hybrid,1000,120,3,7750,0.001281699980609119
hybrid,1000,121,1,7940,0.0016672000056132674
hybrid,1000,121,2,7480,0.0013105999678373337
hybrid,1000,121,3,7863,0.0012826999882236123
hybrid,1000,122,1,7747,0.001227300032041967
hybrid,1000,122,2,7841,0.0012806999729946256
hybrid,1000,122,3,7430,0.001209900015965104
hybrid,1000,123,1,7576,0.0012223999947309494
hybrid,1000,123,2,7506,0.0012452000519260764
hybrid,1000,123,3,7327,0.0011930998880416155
hybrid,1000,124,1,7665,0.0018387000309303403
hybrid,1000,124,2,7471,0.0012824999867007136
hybrid,1000,124,3,7670,0.0021055000834167004
hybrid,1000,125,1,7487,0.001596100046299398
hybrid,1000,125,2,6995,0.0011065000435337424
hybrid,1000,125,3,7584,0.0012867000186815858
hybrid,1000,126,1,7576,0.001158399973064661
hybrid,1000,126,2,7601,0.0012305999407544732
hybrid,1000,126,3,7387,0.0014800999779254198
hybrid,1000,127,1,7481,0.0012751000467687845
hybrid,1000,127,2,7211,0.0010933000594377518
hybrid,1000,127,3,7382,0.0011473000049591064
hybrid,1000,128,1,7302,0.0013987000565975904
hybrid,1000,128,2,7284,0.0011057000374421477
hybrid,1000,128,3,7238,0.001256900024600327
hybrid,1000,129,1,6993,0.0014582000439986587
hybrid,1000,129,2,7166,0.0013765000039711595
hybrid,1000,129,3,7412,0.001585999969393015
hybrid,1000,130,1,7669,0.0011990000493824482
hybrid,1000,130,2,7172,0.0011045999126508832
hybrid,1000,130,3,7235,0.0010853999992832541
hybrid,1000,131,1,7564,0.0018207000102847815
hybrid,1000,131,2,7161,0.0011434999760240316
hybrid,1000,131,3,7202,0.0010740000288933516
hybrid,1000,132,1,7314,0.001089800032787025
hybrid,1000,132,2,7314,0.001678899978287518
hybrid,1000,132,3,7287,0.0012648999691009521
hybrid,1000,133,1,7344,0.001141300075687468
hybrid,1000,133,2,7455,0.0013234000653028488
hybrid,1000,133,3,7049,0.0017586000030860305
hybrid,1000,134,1,7236,0.0017486999277025461
hybrid,1000,134,2,7590,0.0011694999411702156
hybrid,1000,134,3,7340,0.0013292999938130379
hybrid,1000,135,1,7409,0.0014280000468716025
hybrid,1000,135,2,7537,0.001165800029411912
hybrid,1000,135,3,7275,0.001120000029914081
hybrid,1000,136,1,7272,0.0013563999673351645
hybrid,1000,136,2,7280,0.0013568999711424112
hybrid,1000,136,3,7447,0.0012187999673187733
hybrid,1000,137,1,7388,0.00113769993185997
hybrid,1000,137,2,6972,0.0018744999542832375
hybrid,1000,137,3,7248,0.001117600011639297
hybrid,1000,138,1,6919,0.0010488999541848898
