mode,n,S,trial,comparisons,time_s
hybrid,1373,21,1,11744,0.0037835000548511744
hybrid,1373,21,2,11736,0.003811800037510693
hybrid,1373,21,3,11896,0.004257800057530403
hybrid,1373,22,1,11620,0.0032779000466689467
hybrid,1373,22,2,11661,0.003976400010287762
hybrid,1373,22,3,11533,0.003837800002656877
hybrid,1373,23,1,11628,0.0042990000220015645
hybrid,1373,23,2,11581,0.0033984999172389507
hybrid,1373,23,3,11560,0.004179300041869283
hybrid,1373,24,1,11704,0.004141900106333196
hybrid,1373,24,2,11653,0.003971499972976744
hybrid,1373,24,3,11676,0.0036597999278455973
hybrid,1373,25,1,11712,0.00393799995072186
hybrid,1373,25,2,11639,0.003217300050891936
hybrid,1373,25,3,11584,0.002835000050254166
hybrid,1373,26,1,11638,0.0021520000882446766
hybrid,1373,26,2,11677,0.0024799999082461
hybrid,1373,26,3,11638,0.004182600066997111
hybrid,1373,27,1,11519,0.003536100033670664
hybrid,1373,27,2,11668,0.002363000065088272
hybrid,1373,27,3,11568,0.0028609000146389008
hybrid,1373,28,1,11588,0.0021229999838396907
hybrid,1373,28,2,11618,0.0019379999721422791
hybrid,1373,28,3,11710,0.0032552999909967184
hybrid,1373,29,1,11607,0.0021024999441578984
hybrid,1373,29,2,11626,0.0020846000406891108
hybrid,1373,29,3,11597,0.0034425000194460154
hybrid,1373,30,1,11479,0.00370410003233701
hybrid,1373,30,2,11609,0.003943000105209649
hybrid,1373,30,3,11685,0.0037742999847978354
hybrid,1373,31,1,11580,0.0036881999112665653
hybrid,1373,31,2,11528,0.0037495000287890434
hybrid,1373,31,3,11636,0.002854499965906143
hybrid,1373,32,1,11572,0.0044207999017089605
hybrid,1373,32,2,11670,0.003949000034481287
hybrid,1373,32,3,11771,0.0033035000087693334
hybrid,1373,33,1,11725,0.0023719000164419413
hybrid,1373,33,2,11700,0.0028244000859558582
hybrid,1373,33,3,11581,0.0027833000058308244
hybrid,1373,34,1,11712,0.002010400057770312
hybrid,1373,34,2,11565,0.002029100083746016
hybrid,1373,34,3,11709,0.003082999959588051
hybrid,1373,35,1,11675,0.00402710004709661
hybrid,1373,35,2,11545,0.0020146999740973115
hybrid,1373,35,3,11548,0.0022656999062746763
hybrid,1373,36,1,11607,0.002010800060816109
hybrid,1373,36,2,11562,0.0027354999911040068
hybrid,1373,36,3,11672,0.0025502999778836966
hybrid,1373,37,1,11607,0.002664300031028688
hybrid,1373,37,2,11612,0.0026800999185070395
hybrid,1373,37,3,11637,0.003948699915781617
hybrid,1373,38,1,11565,0.0023024999536573887
hybrid,1373,38,2,11556,0.0025866000214591622
hybrid,1373,38,3,11619,0.0028215000638738275
hybrid,1373,39,1,11653,0.0036060999846085906
hybrid,1373,39,2,11708,0.0027042999863624573
hybrid,1373,39,3,11470,0.0026291999965906143
hybrid,1373,40,1,11713,0.005043199984356761
hybrid,1373,40,2,11607,0.003998299944214523
hybrid,1373,40,3,11573,0.004734499962069094
hybrid,1373,41,1,11536,0.004276400082744658
hybrid,1373,41,2,11596,0.004032599972561002
hybrid,1373,41,3,11511,0.006345600006170571
hybrid,1373,42,1,11498,0.003419300075620413
hybrid,1373,42,2,11634,0.0038787999656051397
hybrid,1373,42,3,11388,0.0036178999580442905
hybrid,1373,43,1,11084,0.0033181000035256147
hybrid,1373,43,2,11208,0.0035487000131979585
hybrid,1373,43,3,11321,0.006093000061810017
hybrid,1373,44,1,11095,0.0032865999964997172
hybrid,1373,44,2,11638,0.0036771000595763326
hybrid,1373,44,3,11533,0.0030855999793857336
hybrid,1373,45,1,11187,0.0037580999778583646
hybrid,1373,45,2,11350,0.0029731999384239316
hybrid,1373,45,3,11535,0.002428900101222098
hybrid,1373,46,1,11299,0.003041599993593991
hybrid,1373,46,2,11538,0.004790000035427511
hybrid,1373,46,3,11318,0.001884699915535748
hybrid,1373,47,1,11387,0.002510499907657504
hybrid,1373,47,2,11498,0.002518199966289103
hybrid,1373,47,3,11279,0.002342200023122132
hybrid,1373,48,1,11333,0.0018096000421792269
hybrid,1373,48,2,11249,0.0020037000067532063
hybrid,1373,48,3,11245,0.0022817999124526978
hybrid,1373,49,1,11252,0.0029570000478997827
hybrid,1373,49,2,11223,0.003480499959550798
hybrid,1373,49,3,11387,0.004310199990868568
hybrid,1373,50,1,11025,0.005079800030216575
hybrid,1373,50,2,11167,0.05157430004328489
hybrid,1373,50,3,11250,0.010978100006468594
hybrid,1373,51,1,11286,0.00626870000269264
hybrid,1373,51,2,11330,0.012032600003294647
hybrid,1373,51,3,11351,0.007942200056277215
hybrid,1373,52,1,11294,0.00428190000820905
hybrid,1373,52,2,11156,0.00811329996213317
hybrid,1373,52,3,11538,0.007546299952082336
hybrid,1373,53,1,11385,0.005879299947991967
hybrid,1373,53,2,11494,0.005382500006817281
hybrid,1373,53,3,11271,0.004919400089420378
hybrid,1373,54,1,11189,0.0037513000424951315
hybrid,1373,54,2,11461,0.003506300039589405
hybrid,1373,54,3,11184,0.0035096999490633607
hybrid,1373,55,1,11211,0.005085699958726764
hybrid,1373,55,2,11287,0.0032477000495418906
hybrid,1373,55,3,11347,0.003309600055217743
hybrid,1373,56,1,11386,0.003911299980245531
hybrid,1373,56,2,11169,0.003926399978809059
hybrid,1373,56,3,11096,0.0034142000367864966
hybrid,1373,57,1,11281,0.003377299988642335
hybrid,1373,57,2,11260,0.0033033000072464347
hybrid,1373,57,3,11141,0.0031802000012248755
hybrid,1373,58,1,11242,0.0031382000306621194
hybrid,1373,58,2,11291,0.003268199972808361
hybrid,1373,58,3,11431,0.0032294000266119838
hybrid,1373,59,1,11134,0.002018700004555285
hybrid,1373,59,2,11314,0.001879999996162951
hybrid,1373,59,3,11547,0.002003000001423061
hybrid,1373,60,1,11526,0.0022976999171078205
hybrid,1373,60,2,11467,0.0019201000686734915
hybrid,1373,60,3,11177,0.0022116999607533216
hybrid,1373,61,1,11296,0.0017724999925121665
hybrid,1373,61,2,11139,0.002253000042401254
hybrid,1373,61,3,11270,0.0019134999020025134
hybrid,1373,62,1,11318,0.0033337000058963895
hybrid,1373,62,2,11314,0.0031798999989405274
hybrid,1373,62,3,11195,0.0026660000439733267
hybrid,1373,63,1,11203,0.0036192000843584538
hybrid,1373,63,2,11299,0.0036504999734461308
hybrid,1373,63,3,11069,0.003291000030003488
hybrid,1373,64,1,11212,0.0035380999324843287
hybrid,1373,64,2,11374,0.003303100005723536
hybrid,1373,64,3,11463,0.0037212000461295247
hybrid,1373,65,1,11346,0.0029725999338552356
hybrid,1373,65,2,11260,0.0023436000337824225
hybrid,1373,65,3,11557,0.003557400079444051
hybrid,1373,66,1,11300,0.003414300037547946
hybrid,1373,66,2,11236,0.02478750003501773
hybrid,1373,66,3,11450,0.015344300074502826
hybrid,1373,67,1,11325,0.0037791000213474035
hybrid,1373,67,2,11277,0.004325600108131766
hybrid,1373,67,3,11058,0.003454499994404614
hybrid,1373,68,1,11323,0.004701599944382906
hybrid,1373,68,2,11223,0.0035319000016897917
hybrid,1373,68,3,11241,0.003421699977479875
hybrid,1373,69,1,11275,0.0032961999531835318
hybrid,1373,69,2,11160,0.0036152999382466078
hybrid,1373,69,3,11351,0.0032867001136764884
hybrid,1373,70,1,11033,0.004178300034254789
hybrid,1373,70,2,11256,0.003778700018301606
hybrid,1373,70,3,11318,0.005184600013308227
hybrid,1373,71,1,11174,0.0032957999501377344
hybrid,1373,71,2,11366,0.007505699992179871
hybrid,1373,71,3,11184,0.0030045000603422523
hybrid,1373,72,1,11096,0.003971500089392066
hybrid,1373,72,2,11327,0.004684799932874739
hybrid,1373,72,3,11470,0.002868400071747601
hybrid,1373,73,1,11084,0.0032366999657824636
hybrid,1373,73,2,11158,0.0032342999475076795
